iter	Passed	Remaining
608	1180	758
609	1182	755
610	1183	753
611	1185	751
612	1186	749
613	1188	746
614	1189	744
615	1191	742
616	1192	740
617	1194	738
618	1195	735
619	1197	733
620	1198	731
621	1200	729
622	1201	727
623	1203	724
624	1204	722
625	1206	720
626	1207	718
627	1208	715
628	1210	713
629	1211	711
630	1213	709
631	1214	707
632	1216	705
633	1217	703
634	1219	700
635	1220	698
636	1222	696
637	1223	694
638	1225	692
639	1226	689
640	1228	687
641	1229	685
642	1230	683
643	1232	681
644	1233	679
645	1235	676
646	1236	674
647	1238	672
648	1239	670
649	1241	668
650	1242	666
651	1244	664
652	1245	661
653	1247	659
654	1248	657
655	1250	655
656	1251	653
657	1253	651
658	1254	649
659	1256	647
660	1257	644
661	1259	642
662	1260	640
663	1262	638
664	1263	636
665	1265	634
666	1266	632
667	1268	630
668	1269	628
669	1271	626
670	1272	623
671	1274	621
672	1275	619
673	1277	617
674	1278	615
675	1280	613
676	1281	611
677	1283	609
678	1284	607
679	1286	605
680	1287	603
681	1289	601
682	1290	599
683	1292	597
684	1293	594
685	1295	592
686	1296	590
687	1298	588
688	1299	586
689	1301	584
690	1302	582
691	1303	580
692	1305	578
693	1306	576
694	1308	574
695	1309	572
696	1311	570
697	1312	568
698	1314	566
699	1316	564
700	1317	561
701	1319	559
702	1320	557
703	1322	555
704	1323	553
705	1324	551
706	1325	549
707	1327	547
708	1329	545
709	1330	543
710	1332	541
711	1333	539
712	1334	537
713	1336	535
714	1337	533
715	1338	531
716	1340	529
717	1342	527
718	1343	525
719	1345	523
720	1346	521
721	1348	519
722	1349	517
723	1351	515
724	1352	513
725	1354	511
726	1355	509
727	1357	507
728	1358	505
729	1360	503
730	1362	501
731	1363	499
732	1365	497
733	1366	495
734	1368	493
735	1369	491
736	1371	489
737	1372	487
738	1374	485
739	1375	483
740	1377	481
741	1378	479
742	1380	477
743	1381	475
744	1383	473
745	1384	471
746	1386	469
747	1387	467
748	1389	465
749	1390	463
750	1392	461
751	1393	459
752	1395	457
753	1396	455
754	1398	453
755	1399	451
756	1401	449
757	1402	447
758	1404	445
759	1405	443
760	1407	441
761	1408	440
762	1410	438
763	1411	436
764	1413	434
765	1414	432
766	1416	430
767	1417	428
768	1419	426
769	1420	424
770	1422	422
771	1423	420
772	1424	418
773	1426	416
774	1427	414
775	1429	412
776	1430	410
777	1432	408
778	1433	406
779	1435	404
780	1436	402
781	1438	401
782	1439	399
783	1441	397
784	1442	395
785	1444	393
786	1446	391
787	1447	389
788	1449	387
789	1450	385
790	1452	383
791	1453	381
792	1455	379
793	1457	378
794	1458	376
795	1460	374
796	1461	372
797	1463	370
798	1464	368
799	1466	366
800	1467	364
801	1469	362
802	1470	360
803	1472	358
804	1473	356
805	1474	355
806	1476	353
807	1478	351
808	1479	349
809	1481	347
810	1482	345
811	1484	343
812	1485	341
813	1487	339
814	1488	337
815	1490	336
816	1491	334
817	1493	332
818	1494	330
819	1496	328
820	1497	326
821	1499	324
822	1500	322
823	1502	320
824	1503	318
825	1505	317
826	1506	315
827	1508	313
828	1509	311
829	1511	309
830	1512	307
831	1514	305
832	1515	303
833	1517	302
834	1518	300
835	1520	298
836	1521	296
837	1523	294
838	1525	292
839	1526	290
840	1528	288
841	1529	287
842	1531	285
843	1532	283
844	1534	281
845	1535	279
846	1537	277
847	1538	275
848	1540	273
849	1541	272
850	1543	270
851	1544	268
852	1546	266
853	1547	264
854	1549	262
855	1550	260
856	1551	258
857	1553	257
858	1554	255
859	1556	253
860	1557	251
861	1559	249
862	1561	247
863	1562	245
864	1564	244
865	1565	242
866	1566	240
867	1568	238
868	1569	236
869	1571	234
870	1572	232
871	1574	231
872	1575	229
873	1577	227
874	1578	225
875	1580	223
876	1581	221
877	1583	219
878	1584	218
879	1586	216
880	1587	214
881	1589	212
882	1590	210
883	1592	208
884	1593	207
885	1595	205
886	1596	203
887	1597	201
888	1599	199
889	1600	197
890	1602	196
891	1603	194
892	1605	192
893	1606	190
894	1608	188
895	1610	186
896	1611	185
897	1612	183
898	1614	181
899	1615	179
900	1617	177
901	1618	175
902	1620	174
903	1621	172
904	1623	170
905	1624	168
906	1626	166
907	1627	164
908	1629	163
909	1630	161
910	1632	159
911	1633	157
912	1635	155
913	1636	153
914	1638	152
915	1639	150
916	1641	148
917	1642	146
918	1643	144
919	1645	143
920	1646	141
921	1648	139
922	1650	137
923	1651	135
924	1653	134
925	1654	132
926	1655	130
927	1657	128
928	1658	126
929	1660	124
930	1661	123
931	1663	121
932	1664	119
933	1666	117
934	1667	115
935	1669	114
936	1670	112
937	1672	110
938	1673	108
939	1675	106
940	1676	105
941	1678	103
942	1679	101
943	1681	99
944	1682	97
945	1684	96
946	1685	94
947	1687	92
948	1688	90
949	1690	88
950	1691	87
951	1693	85
952	1694	83
953	1695	81
954	1697	79
955	1698	78
956	1700	76
957	1701	74
958	1703	72
959	1705	71
960	1706	69
961	1708	67
962	1709	65
963	1711	63
964	1712	62
965	1714	60
966	1715	58
967	1717	56
968	1718	54
969	1720	53
970	1721	51
971	1723	49
972	1724	47
973	1726	46
974	1727	44
975	1729	42
976	1730	40
977	1731	38
978	1733	37
979	1735	35
980	1736	33
981	1738	31
982	1739	30
983	1741	28
984	1742	26
985	1744	24
986	1745	22
987	1747	21
988	1748	19
989	1750	17
990	1751	15
991	1753	14
992	1754	12
993	1755	10
994	1757	8
995	1758	7
996	1760	5
997	1761	3
998	1763	1
999	1764	0
